Cycle,Location,Z_stack,Channel,Marker,Path,Path_corrected
Cycle3,2,1,CH3,APC,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw2\1_00001_Z001_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_1_Cycle3_APC.tiff
Cycle3,2,1,CH4,DKK1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw2\1_00001_Z001_CH4.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_1_Cycle3_DKK1.tiff
Cycle3,2,2,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw2\1_00001_Z002_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_2_Cycle3_Hoeschst.tiff
Cycle3,2,2,CH2,Non-phospho-B-catenin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw2\1_00001_Z002_CH2.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_2_Cycle3_Non-phospho-B-catenin.tiff
Cycle3,2,2,CH3,APC,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw2\1_00001_Z002_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_2_Cycle3_APC.tiff
Cycle3,2,2,CH4,DKK1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw2\1_00001_Z002_CH4.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_2_Cycle3_DKK1.tiff
Cycle3,2,3,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw2\1_00001_Z003_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_3_Cycle3_Hoeschst.tiff
Cycle3,2,3,CH2,Non-phospho-B-catenin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw2\1_00001_Z003_CH2.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_3_Cycle3_Non-phospho-B-catenin.tiff
Cycle3,2,3,CH3,APC,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw2\1_00001_Z003_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_3_Cycle3_APC.tiff
Cycle3,2,3,CH4,DKK1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw2\1_00001_Z003_CH4.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_3_Cycle3_DKK1.tiff
Cycle3,2,4,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw2\1_00001_Z004_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_4_Cycle3_Hoeschst.tiff
Cycle3,2,4,CH2,Non-phospho-B-catenin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw2\1_00001_Z004_CH2.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_4_Cycle3_Non-phospho-B-catenin.tiff
Cycle3,2,4,CH3,APC,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw2\1_00001_Z004_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_4_Cycle3_APC.tiff
Cycle3,2,4,CH4,DKK1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw2\1_00001_Z004_CH4.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_4_Cycle3_DKK1.tiff
Cycle3,2,5,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw2\1_00001_Z005_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_5_Cycle3_Hoeschst.tiff
Cycle3,2,5,CH2,Non-phospho-B-catenin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw2\1_00001_Z005_CH2.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_5_Cycle3_Non-phospho-B-catenin.tiff
Cycle3,2,5,CH3,APC,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw2\1_00001_Z005_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_5_Cycle3_APC.tiff
Cycle3,2,5,CH4,DKK1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw2\1_00001_Z005_CH4.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_5_Cycle3_DKK1.tiff
Cycle3,2,6,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw2\1_00001_Z006_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_6_Cycle3_Hoeschst.tiff
Cycle3,2,6,CH2,Non-phospho-B-catenin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw2\1_00001_Z006_CH2.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_6_Cycle3_Non-phospho-B-catenin.tiff
Cycle3,2,6,CH3,APC,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw2\1_00001_Z006_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_6_Cycle3_APC.tiff
Cycle3,2,6,CH4,DKK1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw2\1_00001_Z006_CH4.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_6_Cycle3_DKK1.tiff
Cycle3,2,7,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw2\1_00001_Z007_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_7_Cycle3_Hoeschst.tiff
Cycle3,2,7,CH2,Non-phospho-B-catenin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw2\1_00001_Z007_CH2.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_7_Cycle3_Non-phospho-B-catenin.tiff
Cycle3,2,7,CH3,APC,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw2\1_00001_Z007_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_7_Cycle3_APC.tiff
Cycle3,2,7,CH4,DKK1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw2\1_00001_Z007_CH4.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_7_Cycle3_DKK1.tiff
Cycle3,2,8,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw2\1_00001_Z008_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_8_Cycle3_Hoeschst.tiff
Cycle3,2,8,CH2,Non-phospho-B-catenin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw2\1_00001_Z008_CH2.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_8_Cycle3_Non-phospho-B-catenin.tiff
Cycle3,2,8,CH3,APC,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw2\1_00001_Z008_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_8_Cycle3_APC.tiff
Cycle3,2,8,CH4,DKK1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw2\1_00001_Z008_CH4.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_8_Cycle3_DKK1.tiff
Cycle3,2,9,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw2\1_00001_Z009_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_9_Cycle3_Hoeschst.tiff
Cycle3,2,9,CH2,Non-phospho-B-catenin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw2\1_00001_Z009_CH2.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_9_Cycle3_Non-phospho-B-catenin.tiff
Cycle3,2,9,CH3,APC,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw2\1_00001_Z009_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_9_Cycle3_APC.tiff
Cycle3,2,9,CH4,DKK1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw2\1_00001_Z009_CH4.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_9_Cycle3_DKK1.tiff
Cycle3,2,10,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw2\1_00001_Z010_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_10_Cycle3_Hoeschst.tiff
Cycle3,2,10,CH2,Non-phospho-B-catenin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw2\1_00001_Z010_CH2.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_10_Cycle3_Non-phospho-B-catenin.tiff
Cycle3,2,10,CH3,APC,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw2\1_00001_Z010_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_10_Cycle3_APC.tiff
Cycle3,2,10,CH4,DKK1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw2\1_00001_Z010_CH4.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_10_Cycle3_DKK1.tiff
Cycle3,3,1,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw3\1_00001_Z001_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\3_1_Cycle3_Hoeschst.tiff
Cycle3,3,1,CH2,Non-phospho-B-catenin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw3\1_00001_Z001_CH2.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\3_1_Cycle3_Non-phospho-B-catenin.tiff
Cycle3,3,1,CH3,APC,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw3\1_00001_Z001_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\3_1_Cycle3_APC.tiff
Cycle3,3,1,CH4,DKK1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw3\1_00001_Z001_CH4.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\3_1_Cycle3_DKK1.tiff
Cycle3,3,2,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw3\1_00001_Z002_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\3_2_Cycle3_Hoeschst.tiff
Cycle3,3,2,CH2,Non-phospho-B-catenin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw3\1_00001_Z002_CH2.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\3_2_Cycle3_Non-phospho-B-catenin.tiff
Cycle3,3,2,CH3,APC,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw3\1_00001_Z002_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\3_2_Cycle3_APC.tiff
Cycle3,3,2,CH4,DKK1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw3\1_00001_Z002_CH4.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\3_2_Cycle3_DKK1.tiff
Cycle3,3,3,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw3\1_00001_Z003_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\3_3_Cycle3_Hoeschst.tiff
Cycle3,3,3,CH2,Non-phospho-B-catenin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw3\1_00001_Z003_CH2.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\3_3_Cycle3_Non-phospho-B-catenin.tiff
Cycle3,3,3,CH3,APC,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw3\1_00001_Z003_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\3_3_Cycle3_APC.tiff
Cycle3,3,3,CH4,DKK1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw3\1_00001_Z003_CH4.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\3_3_Cycle3_DKK1.tiff
Cycle3,3,4,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw3\1_00001_Z004_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\3_4_Cycle3_Hoeschst.tiff
Cycle3,3,4,CH2,Non-phospho-B-catenin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw3\1_00001_Z004_CH2.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\3_4_Cycle3_Non-phospho-B-catenin.tiff
Cycle3,3,4,CH3,APC,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw3\1_00001_Z004_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\3_4_Cycle3_APC.tiff
Cycle3,3,4,CH4,DKK1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw3\1_00001_Z004_CH4.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\3_4_Cycle3_DKK1.tiff
Cycle3,3,5,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw3\1_00001_Z005_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\3_5_Cycle3_Hoeschst.tiff
Cycle3,3,5,CH2,Non-phospho-B-catenin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw3\1_00001_Z005_CH2.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\3_5_Cycle3_Non-phospho-B-catenin.tiff
Cycle3,3,5,CH3,APC,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw3\1_00001_Z005_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\3_5_Cycle3_APC.tiff
Cycle3,3,5,CH4,DKK1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw3\1_00001_Z005_CH4.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\3_5_Cycle3_DKK1.tiff
Cycle3,3,6,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw3\1_00001_Z006_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\3_6_Cycle3_Hoeschst.tiff
Cycle3,3,6,CH2,Non-phospho-B-catenin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw3\1_00001_Z006_CH2.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\3_6_Cycle3_Non-phospho-B-catenin.tiff
Cycle3,3,6,CH3,APC,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw3\1_00001_Z006_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\3_6_Cycle3_APC.tiff
Cycle3,3,6,CH4,DKK1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw3\1_00001_Z006_CH4.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\3_6_Cycle3_DKK1.tiff
Cycle4,1,1,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z001_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_1_Cycle4_Hoeschst.tiff
Cycle4,1,1,CH2,DKK2,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z001_CH2.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_1_Cycle4_DKK2.tiff
Cycle4,1,1,CH3,AXIN1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z001_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_1_Cycle4_AXIN1.tiff
Cycle4,1,2,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z002_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_2_Cycle4_Hoeschst.tiff
Cycle4,1,2,CH2,DKK2,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z002_CH2.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_2_Cycle4_DKK2.tiff
Cycle4,1,2,CH3,AXIN1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z002_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_2_Cycle4_AXIN1.tiff
Cycle4,1,3,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z003_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_3_Cycle4_Hoeschst.tiff
Cycle4,1,3,CH2,DKK2,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z003_CH2.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_3_Cycle4_DKK2.tiff
Cycle4,1,3,CH3,AXIN1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z003_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_3_Cycle4_AXIN1.tiff
Cycle4,1,4,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z004_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_4_Cycle4_Hoeschst.tiff
Cycle4,1,4,CH2,DKK2,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z004_CH2.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_4_Cycle4_DKK2.tiff
Cycle4,1,4,CH3,AXIN1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z004_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_4_Cycle4_AXIN1.tiff
Cycle4,1,5,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z005_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_5_Cycle4_Hoeschst.tiff
Cycle4,1,5,CH2,DKK2,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z005_CH2.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_5_Cycle4_DKK2.tiff
Cycle4,1,5,CH3,AXIN1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z005_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_5_Cycle4_AXIN1.tiff
Cycle4,1,6,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z006_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_6_Cycle4_Hoeschst.tiff
Cycle4,1,6,CH2,DKK2,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z006_CH2.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_6_Cycle4_DKK2.tiff
Cycle4,1,6,CH3,AXIN1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z006_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_6_Cycle4_AXIN1.tiff
Cycle4,1,7,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z007_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_7_Cycle4_Hoeschst.tiff
Cycle4,1,7,CH2,DKK2,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z007_CH2.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_7_Cycle4_DKK2.tiff
Cycle4,1,7,CH3,AXIN1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z007_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_7_Cycle4_AXIN1.tiff
Cycle4,1,8,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z008_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_8_Cycle4_Hoeschst.tiff
Cycle4,1,8,CH2,DKK2,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z008_CH2.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_8_Cycle4_DKK2.tiff
Cycle4,1,8,CH3,AXIN1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z008_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_8_Cycle4_AXIN1.tiff
Cycle4,1,9,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z009_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_9_Cycle4_Hoeschst.tiff
Cycle4,1,9,CH2,DKK2,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z009_CH2.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_9_Cycle4_DKK2.tiff
Cycle4,1,9,CH3,AXIN1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z009_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_9_Cycle4_AXIN1.tiff
Cycle4,1,10,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z010_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_10_Cycle4_Hoeschst.tiff
Cycle4,1,10,CH2,DKK2,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z010_CH2.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_10_Cycle4_DKK2.tiff
Cycle4,1,10,CH3,AXIN1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z010_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_10_Cycle4_AXIN1.tiff
Cycle4,2,1,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw2\1_00001_Z001_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_1_Cycle4_Hoeschst.tiff
Cycle4,2,1,CH2,DKK2,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw2\1_00001_Z001_CH2.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_1_Cycle4_DKK2.tiff
Cycle4,2,1,CH3,AXIN1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw2\1_00001_Z001_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_1_Cycle4_AXIN1.tiff
Cycle4,2,2,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw2\1_00001_Z002_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_2_Cycle4_Hoeschst.tiff
Cycle4,2,2,CH2,DKK2,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw2\1_00001_Z002_CH2.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_2_Cycle4_DKK2.tiff
Cycle4,2,2,CH3,AXIN1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw2\1_00001_Z002_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_2_Cycle4_AXIN1.tiff
